ANO;MÊS;GRANDE REGIÃO;UNIDADE DA FEDERAÇÃO;PRODUTO;LOCALIZAÇÃO;CONSUMO
2000;JAN;REGIÃO SUDESTE;ESPÍRITO SANTO;GÁS NATURAL;TERRA;1153,2373
2000;JUN;REGIÃO SUDESTE;ESPÍRITO SANTO;GÁS NATURAL;TERRA;1539,8916
2000;JUL;REGIÃO SUDESTE;ESPÍRITO SANTO;GÁS NATURAL;TERRA;1556,0363
2000;ABR;REGIÃO SUDESTE;ESPÍRITO SANTO;GÁS NATURAL;TERRA;1352,7338
2000;MAI;REGIÃO SUDESTE;ESPÍRITO SANTO;GÁS NATURAL;TERRA;1470,6065
2001;AGO;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;MAR;1049,438
2001;SET;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;MAR;1034,206
2001;JUN;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;MAR;6134,3151
2001;JUL;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;MAR;838,55
2001;DEZ;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;MAR;1011,223
2001;JAN;REGIÃO NORDESTE;ALAGOAS;GÁS NATURAL;MAR;0
2001;OUT;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;MAR;763,912
2001;NOV;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;MAR;996,991
2001;DEZ;REGIÃO NORDESTE;CEARÁ;GÁS NATURAL;MAR;1185
2001;JAN;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;MAR;5626,8831
2001;OUT;REGIÃO NORDESTE;CEARÁ;GÁS NATURAL;MAR;908
2001;NOV;REGIÃO NORDESTE;CEARÁ;GÁS NATURAL;MAR;953
2001;ABR;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;MAR;5851,4811
2001;MAI;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;MAR;6558,0851
2001;FEV;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;MAR;5137,088
2001;MAR;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;MAR;5660,7901
2001;FEV;REGIÃO NORDESTE;ALAGOAS;GÁS NATURAL;MAR;0
2001;JAN;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;MAR;1083,7329
