Código da Instalação de Transporte;Nome da Instalação de Transporte;Nome da Instalação de Gasoduto;Código da Instalação de Gasoduto;Tipo da instalação de Gasoduto;Nome do Município da Instalação de Gasoduto;Nome da UF da Instalação de Gasoduto;Nome do Operador da instalação de Gasoduto;Código do Operador da Instalação de Gasoduto;Nome do Carregador que usa a Instalação de Gasoduto;Código do Carregador que usa a Instalação de Gasoduto;Nome do Contrato da Instalação de Gasoduto;Nome da Variável;01/11/2022;02/11/2022;03/11/2022;04/11/2022;05/11/2022;06/11/2022;07/11/2022;08/11/2022;09/11/2022;10/11/2022;11/11/2022;12/11/2022;13/11/2022;14/11/2022;15/11/2022;16/11/2022;17/11/2022;18/11/2022;19/11/2022;20/11/2022;21/11/2022;22/11/2022;23/11/2022;24/11/2022;25/11/2022;26/11/2022;27/11/2022;28/11/2022;29/11/2022;30/11/2022
700543;GASDUC III;Interconexão Campos Elíseos I (EDG Campos Elíseos >> GASDUC III);222297;Ponto de Recebimento;Duque de Caxias;RJ;Nova Transportadora do Sudeste S.A. - NTS;3004992714;Petróleo Brasileiro S.A. - PETROBRAS;33000167;GASDUC III;Volume Realizado (mil m³);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1242,88;1,64
700543;GASDUC III;Interconexão Campos Elíseos I (EDG Campos Elíseos >> GASDUC III);222297;Ponto de Recebimento;Duque de Caxias;RJ;Nova Transportadora do Sudeste S.A. - NTS;3004992714;Petróleo Brasileiro S.A. - PETROBRAS;33000167;GASDUC III;Alocação (%);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;100
700543;GASDUC III;Interconexão Campos Elíseos I (EDG Campos Elíseos >> GASDUC III);222297;Ponto de Recebimento;Duque de Caxias;RJ;Nova Transportadora do Sudeste S.A. - NTS;3004992714;Petróleo Brasileiro S.A. - PETROBRAS;33000167;GASDUC III;Pressão Média (kgf/cm²);82,63;83,01;82,55;80,34;77,01;80,61;83,53;82,95;82,45;83,83;83,15;79,96;76,48;84,11;83,1;81,32;81,34;78,27;78,69;83,62;83,79;79,59;79,34;80,77;77,24;71,69;76,85;81,25;75,24;86,63
700543;GASDUC III;Interconexão TECAB (TECAB >> GASDUC III);222296;Ponto de Recebimento;Macaé;RJ;Nova Transportadora do Sudeste S.A. - NTS;3004992714;Petróleo Brasileiro S.A. - PETROBRAS;33000167;GASDUC III;Volume Solicitado (mil m³);5935,85;4621,41;6843,13;6951,91;5765,29;5571,77;7165,28;6464,31;6274,94;7084,54;6441,14;6456,88;5099,8;6382,2;7814,09;7012,85;5773,78;4133,55;6292,76;3149,15;3505,48;5214,94;5451;4252,46;5010,44;6678,45;4888,85;4199,42;4256,32;2788,81
700543;GASDUC III;Interconexão TECAB (TECAB >> GASDUC III);222296;Ponto de Recebimento;Macaé;RJ;Nova Transportadora do Sudeste S.A. - NTS;3004992714;Petróleo Brasileiro S.A. - PETROBRAS;33000167;GASDUC III;Volume Programado (mil m³);5935,85;4621,41;6843,13;6951,91;5765,29;5571,77;7165,28;6464,31;6274,94;7084,54;6441,14;6456,88;5099,8;6382,2;7814,09;7012,85;5773,78;4133,55;6292,76;3149,15;3505,48;5214,94;5451;4252,46;5010,44;6678,45;4888,85;4199,42;4256,32;2788,81
700543;GASDUC III;Interconexão TECAB (TECAB >> GASDUC III);222296;Ponto de Recebimento;Macaé;RJ;Nova Transportadora do Sudeste S.A. - NTS;3004992714;Petróleo Brasileiro S.A. - PETROBRAS;33000167;GASDUC III;Volume Realizado (mil m³);7391,29;5588,3;7690,62;7448,33;5960,65;6284,7;5521,37;4838,1;5465,85;5173,2;4748,99;4824,3;3885,31;4800,86;8530,16;6423,08;6114,98;5837,94;6617,59;3983,53;3729,28;5396,78;5451,91;4070,82;5005,61;6906,03;5353,37;3281,2;3626,85;2759,45
700543;GASDUC III;Interconexão TECAB (TECAB >> GASDUC III);222296;Ponto de Recebimento;Macaé;RJ;Nova Transportadora do Sudeste S.A. - NTS;3004992714;Petróleo Brasileiro S.A. - PETROBRAS;33000167;GASDUC III;Alocação (%);95,3;93,72;96,91;96,35;96,32;96,72;93,05;93,5;94,69;94,34;94,15;95,11;94,47;94,65;97,63;94,82;95,5;94,98;95,39;95,17;93,26;97,86;97,13;92,04;95,08;95,7;97,67;92,64;97,11;99,93
700543;GASDUC III;Interconexão TECAB (TECAB >> GASDUC III);222296;Ponto de Recebimento;Macaé;RJ;Nova Transportadora do Sudeste S.A. - NTS;3004992714;Petróleo Brasileiro S.A. - PETROBRAS;33000167;GASDUC III;Pressão Média (kgf/cm²);83,46;83,59;82,73;81,15;77,71;80,9;83,91;83,22;82,61;84,02;83,38;80,17;76,56;84,01;83,59;81,91;81,83;78,85;78,85;84,03;83,68;79,68;79,89;80,79;77,62;72,39;77,21;81,53;75,34;86,4
700543;GASDUC III;Guapimirim;222302;Ponto de Entrega;Guapimirim;RJ;Nova Transportadora do Sudeste S.A. - NTS;3004992714;Petróleo Brasileiro S.A. - PETROBRAS;33000167;GASDUC III;Volume Solicitado (mil m³);510,1;505,26;530,99;564,74;554,33;471,28;509,76;550,14;557,75;537,31;587,24;589,81;471,28;506,87;462,42;518,66;568,15;576,67;579,5;407,29;507,72;529,89;514,24;533,81;587,78;563,76;440,85;500,29;529,66;536,8
700543;GASDUC III;Guapimirim;222302;Ponto de Entrega;Guapimirim;RJ;Nova Transportadora do Sudeste S.A. - NTS;3004992714;Petróleo Brasileiro S.A. - PETROBRAS;33000167;GASDUC III;Volume Programado (mil m³);510,1;505,26;530,99;564,74;554,33;471,28;509,76;550,14;557,75;537,31;587,24;589,81;471,28;506,87;462,42;518,66;568,15;576,67;579,5;407,29;507,72;529,89;514,24;533,81;587,78;563,76;440,85;500,29;529,66;536,8
